effective_pass,train_objective,test_word_error
6.0,1457.0720823426225,0.9860424542018028
14.0,1276.463931794115,0.9697586507705729
26.0,1139.3267922315472,0.9188717650479791
37.0,1121.7052922186951,0.9101482989241059
46.0,1119.9609701975837,0.9124745565571387
54.0,1119.160210068133,0.9086943879034604
62.0,1118.9551022579474,0.9095667345158476
69.0,1118.9060382312869,0.9089851701075894
76.0,1118.8973892483093,0.9098575167199767
88.0,1118.894165451877,0.9092759523117185
95.0,1118.893521771594,0.9092759523117185
