obj_evals,train_objective,test_word_error
7,2133.692830177468,1.0
12,1904.5974267453473,0.9997092177958709
21,1727.118336205992,0.9965106135504507
27,1717.391099505415,0.9962198313463216
36,1705.442673299891,0.9965106135504507
47,1695.592102068272,0.9965106135504507
49,1655.465107733042,0.9976737423669672
57,1655.0812914881446,0.9976737423669672
67,1638.7768311990278,0.9976737423669672
71,1625.315568098501,0.9968013957545798
79,1624.8500492561907,0.9968013957545798
102,1624.841244257445,0.9968013957545798
110,1624.674981637218,0.9968013957545798
