num_transforms,C_crf,crf_letter_accuracy,crf_word_accuracy,crf_nfeval,crf_rc,crf_seconds,C_svm,svm_letter_accuracy,svm_word_accuracy,svm_seconds
0,1000.0,0.49675547751736776,0.2305902878743821,187,1,96.47,1000.0,0.3393770516833346,0.01075894155277697,643.095
500,1000.0,0.48049469425146957,0.19773189880779296,200,1,106.374,1000.0,0.23570501565004962,0.012212852573422507,810.077
1000,1000.0,0.46690587067715095,0.1721430648444315,173,1,91.27,1000.0,0.21249713718604474,0.00639720849084036,891.367
1500,1000.0,0.45526376059241164,0.15673160802558883,155,1,733.002,1000.0,0.1772272692571952,0.007269555103227682,929.539
2000,1000.0,0.43938468585388196,0.13666763594068043,178,1,94.856,1000.0,0.22486449347278417,0.0017446932247746438,982.824
